123027	蓝晓转债	127.600	-3.33%	蓝晓科技	37.58	-1.31%	5.77	29.58	127.05	0.43%	会员	A+	购买	20.71	38.45	3.2%	会员	25-06-10	4.921	2.523	942.17	2.87%	-1.35%	购买	128.03	
128043	东音转债	224.010	-1.40%	罗欣药业	13.86	-0.29%	5.20	6.22*	222.83	0.53%	会员	AA	购买	4.35	8.09	0.3%	会员	24-08-02	4.066	0.647	16037.62	107.63%	-15.37%	购买	224.54	
123041	东财转2	196.300	-3.30%	东方财富 R	25.63	-5.63%	8.90	13.13	195.20	0.56%	会员	AA+	购买	9.19	17.07	3.5%	会员	26-01-12	5.512	73.000	217615.48	15.00%	-10.00%	购买	196.86	
113520	百合转债 !	176.110	-4.32%	梦百合	25.00	-4.58%	3.47	14.28	175.07	0.59%	会员	AA-	购买	10.00	18.56	0.9%	会员	24-11-08	4.334	0.784	4824.43	34.15%	-9.50%	购买	176.70	
128078	太极转债	161.600	-2.06%	太极股份 R	35.94	-3.34%	6.38	22.40	160.45	0.72%	会员	AA	购买	15.68	29.12	4.8%	会员	25-10-21	5.285	9.934	9091.82	5.49%	-5.99%	购买	162.32	
123030	九洲转债	120.032	-2.09%	九洲电气	6.79	-2.16%	1.14	5.70	119.12	0.77%	会员	AA-	购买	3.99	7.41	13.2%	会员	25-08-19	5.112	3.076	1753.71	4.69%	0.08%	购买	120.80	
128084	木森转债	141.000	3.83%	木林森 R	17.91	6.61%	2.21	12.80	139.92	0.77%	会员	AA	购买	8.96	16.64	11.5%	会员	25-12-16	5.438	26.394	23472.40	6.38%	-3.39%	购买	141.77	
128088	深南转债	179.288	-2.18%	深南电路 R	188.05	-3.12%	16.97	105.79	177.76	0.86%	会员	AA	购买	74.05	137.53	1.4%	会员	25-12-24	5.460	12.156	44616.27	20.43%	-7.92%	购买	180.15	
113504	艾华转债 !	147.860	0.13%	艾华集团 R	30.95	-1.43%	5.16	21.13*	146.47	0.95%	会员	AA	购买	14.79	27.47	5.5%	会员	24-03-01	3.644	6.638	4298.33	4.37%	-7.86%	购买	148.81	
128098	康弘转债	140.000	-1.55%	康弘药业 R	48.90	-1.55%	8.60	35.30	138.53	1.06%	会员	AA	购买	24.71	44.12	3.8%	会员	26-03-05	5.655	16.300	6677.28	2.83%	-3.28%	购买	141.06	
113518	顾家转债	156.060	-1.23%	顾家家居 R	54.60	-1.09%	5.42	35.42	154.15	1.24%	会员	AA	购买	28.34	46.05	2.2%	会员	24-09-11	4.175	7.098	4108.98	3.67%	-7.21%	购买	157.30	
123054	思特转债	120.600	2.99%	思特奇	19.64	6.80%	4.08	16.49	119.10	1.26%	会员	AA-	购买	11.54	21.44	8.8%	-	26-06-09	5.918	2.710	5321.64	16.45%	0.16%	购买	121.86	
128030	天康转债	217.850	-2.53%	天康生物 R	16.88	-3.10%	3.66	7.85	215.03	1.31%	会员	AA	购买	5.50	10.21	0.5%	会员	23-12-22	3.452	0.979	14573.13	67.69%	-17.73%	购买	219.16	
128092	唐人转债	127.408	-1.99%	唐人神 R	10.81	-3.65%	2.36	8.63	125.26	1.71%	会员	AA	购买	6.04	11.22	13.7%	会员	25-12-30	5.477	12.400	5793.21	3.66%	-1.84%	购买	129.12	
123038	联得转债	144.360	-1.12%	联得装备	35.83	-1.57%	6.95	25.29	141.68	1.89%	会员	A+	购买	19.98	32.88	3.9%	会员	25-12-24	5.460	2.000	5963.13	20.70%	-3.53%	购买	146.25	
113571	博特转债	147.870	-2.72%	苏博特	27.37	-1.48%	3.27	18.88	144.97	2.00%	会员	AA-	购买	13.22	24.54	8.2%	会员	26-03-11	5.671	6.970	3174.56	3.05%	-3.57%	购买	149.87	
113521	科森转债 !	157.990	-2.91%	科森科技	13.43	-4.95%	3.09	8.70	154.37	2.35%	会员	AA	购买	6.09	11.31	2.4%	会员	24-11-16	4.356	1.510	4319.83	17.94%	-7.13%	购买	160.34	
113547	索发转债	135.000	-2.67%	索通发展	14.07	-5.63%	1.86	10.67	131.87	2.37%	会员	AA	购买	7.47	13.87	19.5%	会员	25-10-23	5.290	9.448	1760.68	1.37%	-2.39%	购买	137.37	
123022	长信转债 !	202.000	-0.98%	长信科技 R	12.12	-2.65%	4.52	6.15	197.07	2.50%	会员	AA	购买	4.30	8.00	1.2%	会员	25-03-18	4.690	3.438	5495.06	7.90%	-11.51%	购买	204.50	
